"Methode A" "Methode B"
98.5743906979281 99.7947128664724
101.207987421879 99.0326840042622
98.0179068323213 99.6963071767013
99.3603739739499 100.840860842253
100.301176524773 100.174308780227
98.5445891399502 102.071064220692
98.7208061877471 99.9424082671756
99.0568360384087 102.760694725722
100.099199748407 101.118276060783
99.4976463556052 100.277686576304
99.8015566149821 100.247297179226
99.5027025202139 101.413430266258
100.709839529439 101.014600841604
101.086854003909 100.691869938237
100.561906645609 101.871971172526
100.60140221174 98.3813118652392
99.3598074130663 102.039949309381
98.7138941959753 99.9783593664886
101.356941704456 102.331741928444
99.6240141371448 100.04749647019
100.237615756144 100.399972411236
100.260523120788 99.3170170037415
99.5447119804478 100.005252190667
100.015474538193 101.449640344524
100.255853803021 100.949775708373
99.8658778454387 100.056836290686
99.717461905972 100.462804370282
99.943944527031 102.719789460067
99.6894897903902 102.337664693803
99.5741713161488 100.88687823818
